c:\iverilogwork>iverilog -o DA_block_tp.o DA_block.v DA_block_tp.v

c:\iverilogwork>vvp DA_block_tp.o
         0 din=  0
     30000 din=  1
     90000 din=  2
    150000 din=  3
    200000 din=  4
    210000 din=  5
    220000 din=  6
    230000 din=  7
    240000 din=  8
    250000 din=  9
    260000 din= 10
    270000 din= 11
    280000 din= 12
    290000 din= 13
    300000 din= 14
    310000 din= 15
    320000 din= 16
    330000 din= 17
    340000 din= 18
    350000 din= 19
    360000 din= 20
    370000 din= 21
    380000 din= 22
    390000 din= 23
    400000 din= 24
    410000 din= 25
    420000 din= 26
    430000 din= 27
    440000 din= 28
    450000 din= 29
    460000 din= 30
    470000 din= 31
    480000 din= 32
    490000 din= 33
    500000 din= 34
    510000 din= 35
    520000 din= 36
    530000 din= 37
    540000 din= 38
    550000 din= 39
    560000 din= 40
    570000 din= 41
    580000 din= 42
    590000 din= 43
    600000 din= 44
    610000 din= 45
    620000 din= 46
    630000 din= 47
    640000 din= 48
    650000 din= 49
    660000 din= 50
    670000 din= 51
    680000 din= 52
    690000 din= 53
    700000 din= 54
    710000 din= 55
    720000 din= 56
    730000 din= 57
    740000 din= 58
    750000 din= 59
    760000 din= 60
    770000 din= 61
    780000 din= 62
    790000 din= 63
    800000 din= 64
    810000 din= 65
    820000 din= 66
    830000 din= 67
    840000 din= 68
    850000 din= 69
    860000 din= 70
    870000 din= 71
    880000 din= 72
    890000 din= 73
    900000 din= 74
    910000 din= 75
    920000 din= 76
    930000 din= 77
    940000 din= 78
    950000 din= 79
    960000 din= 80
    970000 din= 81
    980000 din= 82
    990000 din= 83
   1000000 din= 84
   1010000 din= 85
   1020000 din= 86
   1030000 din= 87
   1040000 din= 88
   1050000 din= 89
   1060000 din= 90
   1070000 din= 91
   1080000 din= 92
   1090000 din= 93
   1100000 din= 94
   1110000 din= 95
   1120000 din= 96
   1130000 din= 97
   1140000 din= 98
   1150000 din= 99

c:\iverilogwork>
