c:\iverilogwork>iverilog -o keyenable.o keyenable.v keyenable_tp.v

c:\iverilogwork>vvp keyenable.o
         0 ck=0 reset=0 tenkey=0000000000 ke1=x ke2=x key_enbl=x
       500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=x key_enbl=0
      1000 ck=0 reset=1 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      1500 ck=1 reset=1 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      2000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      2500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      3000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      3500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      4000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      4500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      5000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      5500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
      6000 ck=0 reset=0 tenkey=0100000000 ke1=0 ke2=0 key_enbl=0
      6500 ck=1 reset=0 tenkey=0100000000 ke1=1 ke2=0 key_enbl=1
      7000 ck=0 reset=0 tenkey=0100000000 ke1=1 ke2=0 key_enbl=1
      7500 ck=1 reset=0 tenkey=0100000000 ke1=1 ke2=1 key_enbl=0
      8000 ck=0 reset=0 tenkey=0100000000 ke1=1 ke2=1 key_enbl=0
      8500 ck=1 reset=0 tenkey=0100000000 ke1=1 ke2=1 key_enbl=0
      9000 ck=0 reset=0 tenkey=0100000000 ke1=1 ke2=1 key_enbl=0
      9500 ck=1 reset=0 tenkey=0100000000 ke1=1 ke2=1 key_enbl=0
     10000 ck=0 reset=0 tenkey=0000000000 ke1=1 ke2=1 key_enbl=0
     10500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     11000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     11500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     12000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     12500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     13000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     13500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     14000 ck=0 reset=0 tenkey=0000100000 ke1=0 ke2=0 key_enbl=0
     14500 ck=1 reset=0 tenkey=0000100000 ke1=1 ke2=0 key_enbl=1
     15000 ck=0 reset=0 tenkey=0000100000 ke1=1 ke2=0 key_enbl=1
     15500 ck=1 reset=0 tenkey=0000100000 ke1=1 ke2=1 key_enbl=0
     16000 ck=0 reset=0 tenkey=0000100000 ke1=1 ke2=1 key_enbl=0
     16500 ck=1 reset=0 tenkey=0000100000 ke1=1 ke2=1 key_enbl=0
     17000 ck=0 reset=0 tenkey=0000100000 ke1=1 ke2=1 key_enbl=0
     17500 ck=1 reset=0 tenkey=0000100000 ke1=1 ke2=1 key_enbl=0
     18000 ck=0 reset=0 tenkey=0000000000 ke1=1 ke2=1 key_enbl=0
     18500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     19000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     19500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     20000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     20500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     21000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     21500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     22000 ck=0 reset=0 tenkey=1000000000 ke1=0 ke2=0 key_enbl=0
     22500 ck=1 reset=0 tenkey=1000000000 ke1=1 ke2=0 key_enbl=1
     23000 ck=0 reset=0 tenkey=1000000000 ke1=1 ke2=0 key_enbl=1
     23500 ck=1 reset=0 tenkey=1000000000 ke1=1 ke2=1 key_enbl=0
     24000 ck=0 reset=0 tenkey=1000000000 ke1=1 ke2=1 key_enbl=0
     24500 ck=1 reset=0 tenkey=1000000000 ke1=1 ke2=1 key_enbl=0
     25000 ck=0 reset=0 tenkey=1000000000 ke1=1 ke2=1 key_enbl=0
     25500 ck=1 reset=0 tenkey=1000000000 ke1=1 ke2=1 key_enbl=0
     26000 ck=0 reset=0 tenkey=0000000000 ke1=1 ke2=1 key_enbl=0
     26500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     27000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     27500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     28000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     28500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     29000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     29500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     30000 ck=0 reset=0 tenkey=0001000000 ke1=0 ke2=0 key_enbl=0
     30500 ck=1 reset=0 tenkey=0001000000 ke1=1 ke2=0 key_enbl=1
     31000 ck=0 reset=0 tenkey=0001000000 ke1=1 ke2=0 key_enbl=1
     31500 ck=1 reset=0 tenkey=0001000000 ke1=1 ke2=1 key_enbl=0
     32000 ck=0 reset=0 tenkey=0001000000 ke1=1 ke2=1 key_enbl=0
     32500 ck=1 reset=0 tenkey=0001000000 ke1=1 ke2=1 key_enbl=0
     33000 ck=0 reset=0 tenkey=0001000000 ke1=1 ke2=1 key_enbl=0
     33500 ck=1 reset=0 tenkey=0001000000 ke1=1 ke2=1 key_enbl=0
     34000 ck=0 reset=0 tenkey=0000000000 ke1=1 ke2=1 key_enbl=0
     34500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     35000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     35500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     36000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     36500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     37000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     37500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     38000 ck=0 reset=0 tenkey=0000001000 ke1=0 ke2=0 key_enbl=0
     38500 ck=1 reset=0 tenkey=0000001000 ke1=1 ke2=0 key_enbl=1
     39000 ck=0 reset=0 tenkey=0000001000 ke1=1 ke2=0 key_enbl=1
     39500 ck=1 reset=0 tenkey=0000001000 ke1=1 ke2=1 key_enbl=0
     40000 ck=0 reset=0 tenkey=0000001000 ke1=1 ke2=1 key_enbl=0
     40500 ck=1 reset=0 tenkey=0000001000 ke1=1 ke2=1 key_enbl=0
     41000 ck=0 reset=0 tenkey=0000001000 ke1=1 ke2=1 key_enbl=0
     41500 ck=1 reset=0 tenkey=0000001000 ke1=1 ke2=1 key_enbl=0
     42000 ck=0 reset=0 tenkey=0000000000 ke1=1 ke2=1 key_enbl=0
     42500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     43000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     43500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     44000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     44500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     45000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     45500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     46000 ck=0 reset=0 tenkey=0000010000 ke1=0 ke2=0 key_enbl=0
     46500 ck=1 reset=0 tenkey=0000010000 ke1=1 ke2=0 key_enbl=1
     47000 ck=0 reset=0 tenkey=0000010000 ke1=1 ke2=0 key_enbl=1
     47500 ck=1 reset=0 tenkey=0000010000 ke1=1 ke2=1 key_enbl=0
     48000 ck=0 reset=0 tenkey=0000010000 ke1=1 ke2=1 key_enbl=0
     48500 ck=1 reset=0 tenkey=0000010000 ke1=1 ke2=1 key_enbl=0
     49000 ck=0 reset=0 tenkey=0000010000 ke1=1 ke2=1 key_enbl=0
     49500 ck=1 reset=0 tenkey=0000010000 ke1=1 ke2=1 key_enbl=0
     50000 ck=0 reset=0 tenkey=0000000000 ke1=1 ke2=1 key_enbl=0
     50500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     51000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=1 key_enbl=0
     51500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     52000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     52500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     53000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     53500 ck=1 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0
     54000 ck=0 reset=0 tenkey=0000000000 ke1=0 ke2=0 key_enbl=0

c:\iverilogwork>
